,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
1990,"7,5",10,6,6,"6,7",10,"7,5",10,10,0,0,4,0
1991,"7,5",10,6,6,"6,7",10,"7,5",10,10,0,0,4,0
1992,"7,5",10,6,6,"6,7",10,"7,5",10,10,"2,5",0,4,0
1993,"7,5",10,6,6,"6,7",10,"7,5",10,10,"2,5",0,4,0
1994,5,0,6,6,"6,7",10,"7,5",10,10,"2,5",0,4,0
1995,5,0,6,6,"6,7",10,"7,5",10,10,"2,5",0,4,0
1996,5,0,6,1,"6,7",10,"7,5",10,10,"2,5",0,4,0
1997,5,0,6,4,"6,7",10,"7,5",10,10,"2,5",0,4,0
1998,5,0,6,4,"6,7",10,"7,5",10,10,"2,5",0,4,0
1999,5,0,6,4,"6,7",10,"7,5",10,10,"2,5",0,4,0
2000,5,0,6,3,"6,7",10,"7,5",10,10,"2,5",0,4,0
2001,5,0,6,6,"6,7",10,"7,5",10,10,"2,5",0,4,0
2002,5,0,6,6,"6,7",10,"7,5",10,10,"2,5",0,4,0
2003,5,0,6,6,"6,7",10,"7,5",10,10,"2,5",0,4,0
2004,5,0,6,6,"6,7",10,"7,5",10,10,"2,5",0,4,0
2005,5,0,6,6,"6,7",10,"7,5",10,10,"2,5",0,4,0
2006,5,0,6,4,"6,7",10,"7,5",10,10,"2,5",0,4,0
2007,5,0,6,4,"6,7",10,"7,5",0,10,10,0,4,0
2008,5,0,6,4,"6,7",10,"7,5",0,10,10,0,4,0
2009,5,0,6,4,"6,7",10,"7,5",0,10,10,0,5,0
2010,5,0,6,4,"6,7",10,"7,5",0,10,10,0,5,0
2011,5,0,6,4,"6,7",10,"7,5",0,10,10,0,5,0
2012,5,0,6,4,"6,7",10,"7,5",0,10,10,0,5,0
2013,5,0,6,4,"6,7",10,"7,5","2,5",10,10,0,6,0
2014,5,0,6,4,"6,7",10,"7,5",5,10,10,0,5,"2,5"
2015,5,0,6,4,"6,7",10,"7,5",5,10,10,0,5,"2,5"
2016,5,0,6,4,"6,7",10,"7,5",5,10,10,0,7,5
2017,5,0,6,4,"6,7",10,"7,5","7,5",10,10,0,7,5
2018,5,0,6,4,"6,7",10,"7,5","7,5",10,10,0,7,5
2019,5,0,6,4,"6,7",10,"7,5","7,5",10,10,0,7,5
2020,5,5,6,4,"6,7",10,"7,5",10,10,10,0,7,5
2021,5,5,6,4,"6,7",10,"7,5",10,10,10,0,7,5
2022,5,5,6,4,"6,7",10,"7,5",10,10,10,0,7,5
2023,5,5,6,4,"6,7",10,"7,5",10,10,10,0,7,5